 ******* Program SOILCO2
 *******  Zalf Lysimeter Dedelow Dd_2_6 with Nitrogen                            
 Units: L = cm  , T = day , M = kg  

 CosAlf,MaxIt,TolTh,TolH
 1.000   20 0.00100   0.010

 TopInF,BotInF,AtmBC,SinkF,WLayer,qGWLF,FreeD,SeepF,lWat,lCO2,lRoot,lTemp,InitWC
     T     T     T     T     T     F     F     F     T     T     F     T     T
 using plants

Nodal point information

node      x         hOld    MatN LayN  Beta      CO2       Temp     Conc...

 218    150.000      0.360    1    1   0.000  0.4200E-03  21.300
 217    149.900      0.360    1    1   0.000  0.5059E-03  21.283
 216    149.800      0.360    1    1   0.000  0.5917E-03  21.267
 215    149.700      0.360    1    1   0.000  0.6776E-03  21.250
 214    149.600      0.360    1    1   0.000  0.7634E-03  21.233
 213    149.500      0.360    1    1   0.000  0.8493E-03  21.217
 212    149.400      0.360    1    1   0.000  0.9352E-03  21.200
 211    149.300      0.360    1    1   0.000  0.1021E-02  21.183
 210    149.200      0.360    1    1   0.000  0.1107E-02  21.166
 209    149.100      0.360    1    1   0.000  0.1193E-02  21.150
 208    149.000      0.360    1    1   0.000  0.1279E-02  21.133
 207    148.500      0.360    1    1   0.000  0.1708E-02  21.050
 206    148.000      0.360    1    1   0.000  0.2137E-02  20.966
 205    147.500      0.360    1    1   0.000  0.2567E-02  20.883
 204    147.000      0.360    1    1   0.000  0.2996E-02  20.799
 203    146.500      0.360    1    1   0.000  0.3425E-02  20.716
 202    146.000      0.360    1    1   0.000  0.3854E-02  20.632
 201    145.500      0.360    1    1   0.000  0.4284E-02  20.549
 200    145.000      0.360    1    1   0.000  0.4713E-02  20.466
 199    144.500      0.360    1    1   0.000  0.5142E-02  20.382
 198    144.000      0.360    1    1   0.000  0.5572E-02  20.299
 197    143.500      0.360    1    1   0.000  0.6001E-02  20.215
 196    143.000      0.360    1    1   0.000  0.6430E-02  20.132
 195    142.500      0.360    1    1   0.000  0.6860E-02  20.048
 194    142.000      0.360    1    1   0.000  0.7289E-02  19.965
 193    141.500      0.360    1    1   0.000  0.7718E-02  19.881
 192    141.000      0.360    1    1   0.000  0.8148E-02  19.798
 191    140.500      0.360    1    1   0.000  0.8577E-02  19.714
 190    140.000      0.360    1    1   0.000  0.9006E-02  19.631
 189    139.500      0.360    1    1   0.000  0.9436E-02  19.548
 188    139.000      0.360    1    1   0.000  0.9865E-02  19.464
 187    138.500      0.360    1    1   0.000  0.1029E-01  19.381
 186    138.000      0.360    1    1   0.000  0.1072E-01  19.297
 185    137.500      0.360    1    1   0.000  0.1115E-01  19.214
 184    137.000      0.360    1    1   0.000  0.1158E-01  19.130
 183    136.500      0.360    1    1   0.000  0.1201E-01  19.047
 182    136.000      0.360    1    1   0.000  0.1244E-01  18.963
 181    135.500      0.360    2    1   0.000  0.1287E-01  18.880
 180    135.000      0.359    2    1   0.000  0.1304E-01  18.846
 179    134.500      0.358    2    1   0.000  0.1322E-01  18.812
 178    134.000      0.357    2    1   0.000  0.1339E-01  18.778
 177    133.500      0.355    2    1   0.000  0.1356E-01  18.745
 176    133.000      0.354    2    1   0.000  0.1374E-01  18.711
 175    132.500      0.353    2    1   0.000  0.1391E-01  18.677
 174    132.000      0.352    2    1   0.000  0.1408E-01  18.643
 173    131.500      0.351    2    1   0.000  0.1425E-01  18.609
 172    131.000      0.350    2    1   0.000  0.1443E-01  18.575
 171    130.500      0.348    2    1   0.000  0.1460E-01  18.542
 170    130.000      0.347    2    1   0.000  0.1477E-01  18.508
