Time(hours),Time(days),Depth(cm),Temperature(C),SoilWaterContent
  489.550000,   20.397917,    1.000000,    9.800000,    0.106918
  489.550000,   20.397917,    2.000000,    9.753965,    0.108628
  489.550000,   20.397917,    3.000000,    9.707751,    0.109734
  489.550000,   20.397917,    4.000000,    9.661900,    0.110347
  489.550000,   20.397917,    5.000000,    9.615977,    0.110592
  489.550000,   20.397917,    6.000000,    9.570174,    0.110568
  489.550000,   20.397917,    7.000000,    9.524290,    0.110370
  489.550000,   20.397917,    8.000000,    9.478362,    0.110096
  489.550000,   20.397917,    9.000000,    9.432380,    0.109857
  489.550000,   20.397917,   10.000000,    9.386347,    0.109780
  489.550000,   20.397917,   11.000000,    9.340296,    0.110004
  489.550000,   20.397917,   12.000000,    9.294273,    0.110668
  489.550000,   20.397917,   13.000000,    9.248342,    0.111880
  489.550000,   20.397917,   14.000000,    9.202628,    0.113923
  489.550000,   20.397917,   15.000000,    9.157335,    0.116860
  489.550000,   20.397917,   16.000000,    9.112487,    0.120300
  489.550000,   20.397917,   17.000000,    9.068154,    0.124646
  489.550000,   20.397917,   18.000000,    9.024336,    0.129181
  489.550000,   20.397917,   19.000000,    8.981130,    0.134413
  489.550000,   20.397917,   20.000000,    8.938503,    0.139596
  489.550000,   20.397917,   21.000000,    8.896557,    0.145426
  489.550000,   20.397917,   22.000000,    8.853342,    0.119676
  489.550000,   20.397917,   23.000000,    8.808385,    0.119654
  489.550000,   20.397917,   24.000000,    8.763391,    0.119669
  489.550000,   20.397917,   25.000000,    8.718372,    0.119719
  489.550000,   20.397917,   26.000000,    8.673338,    0.119804
  489.550000,   20.397917,   27.000000,    8.628294,    0.119924
  489.550000,   20.397917,   28.000000,    8.583249,    0.120077
  489.550000,   20.397917,   29.000000,    8.538211,    0.120263
  489.550000,   20.397917,   30.000000,    8.493187,    0.120479
  489.550000,   20.397917,   31.000000,    8.448186,    0.120724
  489.550000,   20.397917,   32.000000,    8.403214,    0.120998
  489.550000,   20.397917,   33.000000,    8.358280,    0.121299
  489.550000,   20.397917,   34.000000,    8.313391,    0.121624
  489.550000,   20.397917,   35.000000,    8.268556,    0.121973
  489.550000,   20.397917,   36.000000,    8.223782,    0.122344
  489.550000,   20.397917,   37.000000,    8.179076,    0.122734
  489.550000,   20.397917,   38.000000,    8.134441,    0.123222
  489.550000,   20.397917,   39.000000,    8.089883,    0.123751
  489.550000,   20.397917,   40.000000,    8.045438,    0.124293
  489.550000,   20.397917,   41.000000,    8.001094,    0.124848
  489.550000,   20.397917,   42.000000,    7.964236,    0.282356
  489.550000,   20.397917,   43.000000,    7.932674,    0.282369
  489.550000,   20.397917,   44.000000,    7.901156,    0.282385
  489.550000,   20.397917,   45.000000,    7.869679,    0.282403
  489.550000,   20.397917,   46.000000,    7.838246,    0.282424
  489.550000,   20.397917,   47.000000,    7.806863,    0.282447
  489.550000,   20.397917,   48.000000,    7.775536,    0.282472
  489.550000,   20.397917,   49.000000,    7.744271,    0.282499
  489.550000,   20.397917,   50.000000,    7.713074,    0.282528
  489.550000,   20.397917,   51.000000,    7.681951,    0.282560
  489.550000,   20.397917,   52.000000,    7.650909,    0.282593
  489.550000,   20.397917,   53.000000,    7.619957,    0.282628
  489.550000,   20.397917,   54.000000,    7.589104,    0.282666
  489.550000,   20.397917,   55.000000,    7.558358,    0.282705
  489.550000,   20.397917,   56.000000,    7.527726,    0.282746
  489.550000,   20.397917,   57.000000,    7.497220,    0.282789
  489.550000,   20.397917,   58.000000,    7.466851,    0.282833
  489.550000,   20.397917,   59.000000,    7.436628,    0.282879
  489.550000,   20.397917,   60.000000,    7.406563,    0.282927
  489.550000,   20.397917,   61.000000,    7.376669,    0.282976
  489.550000,   20.397917,   62.000000,    7.346957,    0.283027
  489.550000,   20.397917,   63.000000,    7.317440,    0.283079
  489.550000,   20.397917,   64.000000,    7.288135,    0.283133
  489.550000,   20.397917,   65.000000,    7.259052,    0.283188
  489.550000,   20.397917,   66.000000,    7.230209,    0.283245
  489.550000,   20.397917,   67.000000,    7.201621,    0.283302
  489.550000,   20.397917,   68.000000,    7.173303,    0.283361
  489.550000,   20.397917,   69.000000,    7.145273,    0.283421
  489.550000,   20.397917,   70.000000,    7.117549,    0.283482
  489.550000,   20.397917,   71.000000,    7.090149,    0.283544
  489.550000,   20.397917,   72.000000,    7.063092,    0.283607
  489.550000,   20.397917,   73.000000,    7.036393,    0.283671
  489.550000,   20.397917,   74.000000,    7.010076,    0.283736
  489.550000,   20.397917,   75.000000,    6.984158,    0.283802
  489.550000,   20.397917,   76.000000,    6.958663,    0.283869
  489.550000,   20.397917,   77.000000,    6.933612,    0.283936
  489.550000,   20.397917,   78.000000,    6.909027,    0.284004
  489.550000,   20.397917,   79.000000,    6.884935,    0.284073
  489.550000,   20.397917,   80.000000,    6.861354,    0.284142
  489.550000,   20.397917,   81.000000,    6.838315,    0.284212
  489.550000,   20.397917,   82.000000,    6.815840,    0.284282
  489.550000,   20.397917,   83.000000,    6.793956,    0.284353
  489.550000,   20.397917,   84.000000,    6.772690,    0.284424
  489.550000,   20.397917,   85.000000,    6.752068,    0.284496
  489.550000,   20.397917,   86.000000,    6.732121,    0.284567
  489.550000,   20.397917,   87.000000,    6.712875,    0.284639
  489.550000,   20.397917,   88.000000,    6.694360,    0.284712
  489.550000,   20.397917,   89.000000,    6.676607,    0.284784
  489.550000,   20.397917,   90.000000,    6.659645,    0.284856
  489.550000,   20.397917,   90.500000,    6.651471,    0.284893
  489.550000,   20.397917,   91.000000,    6.643508,    0.284929
  489.550000,   20.397917,   91.500000,    6.635758,    0.284965
  489.550000,   20.397917,   92.000000,    6.628227,    0.285001
  489.550000,   20.397917,   92.500000,    6.620917,    0.285037
  489.550000,   20.397917,   93.000000,    6.613834,    0.285073
  489.550000,   20.397917,   93.500000,    6.606982,    0.285109
  489.550000,   20.397917,   94.000000,    6.600364,    0.285145
  489.550000,   20.397917,   94.500000,    6.593984,    0.285181
  489.550000,   20.397917,   95.000000,    6.587846,    0.285217
  489.550000,   20.397917,   95.500000,    6.581973,    0.285253
  489.550000,   20.397917,   96.000000,    6.575953,    0.202701
  489.550000,   20.397917,   96.500000,    6.569699,    0.202532
  489.550000,   20.397917,   97.000000,    6.563688,    0.202363
  489.550000,   20.397917,   97.500000,    6.557942,    0.202194
  489.550000,   20.397917,   98.000000,    6.552472,    0.202025
  489.550000,   20.397917,   98.500000,    6.547281,    0.201857
  489.550000,   20.397917,   99.000000,    6.542374,    0.201688
  489.550000,   20.397917,   99.500000,    6.537757,    0.201520
  489.550000,   20.397917,  100.000000,    6.533435,    0.201352
  489.550000,   20.397917,  100.500000,    6.529407,    0.201183
  489.550000,   20.397917,  101.000000,    6.525873,    0.257295
  489.550000,   20.397917,  101.500000,    6.522818,    0.257327
  489.550000,   20.397917,  102.000000,    6.520073,    0.257359
  489.550000,   20.397917,  102.500000,    6.517639,    0.257392
  489.550000,   20.397917,  103.000000,    6.515516,    0.257424
  489.550000,   20.397917,  103.500000,    6.513708,    0.257457
  489.550000,   20.397917,  104.000000,    6.512223,    0.257490
  489.550000,   20.397917,  104.500000,    6.511066,    0.257522
  489.550000,   20.397917,  105.000000,    6.510242,    0.257555
  489.550000,   20.397917,  105.500000,    6.509753,    0.257587
  489.550000,   20.397917,  106.000000,    6.509603,    0.257619
  489.550000,   20.397917,  106.500000,    6.509799,    0.257651
  489.550000,   20.397917,  107.000000,    6.510346,    0.257683
  489.550000,   20.397917,  107.500000,    6.511249,    0.257714
  489.550000,   20.397917,  108.000000,    6.512507,    0.257745
  489.550000,   20.397917,  108.500000,    6.514129,    0.257775
  489.550000,   20.397917,  109.000000,    6.516120,    0.257805
  489.550000,   20.397917,  109.500000,    6.518485,    0.257834
  489.550000,   20.397917,  110.000000,    6.521224,    0.257862
  489.550000,   20.397917,  110.500000,    6.524344,    0.257890
  489.550000,   20.397917,  111.000000,    6.527847,    0.257917
  489.550000,   20.397917,  111.500000,    6.531744,    0.257943
  489.550000,   20.397917,  112.000000,    6.536032,    0.257968
  489.550000,   20.397917,  112.500000,    6.540718,    0.257992
  489.550000,   20.397917,  113.000000,    6.545802,    0.258015
  489.550000,   20.397917,  113.500000,    6.551295,    0.258037
  489.550000,   20.397917,  114.000000,    6.557196,    0.258058
  489.550000,   20.397917,  114.500000,    6.563510,    0.258077
  489.550000,   20.397917,  115.000000,    6.570238,    0.258095
  489.550000,   20.397917,  115.500000,    6.577386,    0.258112
  489.550000,   20.397917,  116.000000,    6.584958,    0.258127
  489.550000,   20.397917,  116.500000,    6.592957,    0.258141
  489.550000,   20.397917,  117.000000,    6.601384,    0.258153
  489.550000,   20.397917,  117.500000,    6.610241,    0.258164
  489.550000,   20.397917,  118.000000,    6.619533,    0.258173
  489.550000,   20.397917,  118.500000,    6.629263,    0.258180
  489.550000,   20.397917,  119.000000,    6.639434,    0.258186
  489.550000,   20.397917,  119.500000,    6.650045,    0.258190
  489.550000,   20.397917,  120.000000,    6.661098,    0.258191
  489.550000,   20.397917,  120.500000,    6.672597,    0.258191
  489.550000,   20.397917,  121.000000,    6.684544,    0.258189
  489.550000,   20.397917,  121.500000,    6.696940,    0.258184
  489.550000,   20.397917,  122.000000,    6.709787,    0.258178
  489.550000,   20.397917,  122.500000,    6.723081,    0.258169
  489.550000,   20.397917,  123.000000,    6.736825,    0.258158
  489.550000,   20.397917,  123.500000,    6.751025,    0.258144
  489.550000,   20.397917,  124.000000,    6.765679,    0.258128
  489.550000,   20.397917,  124.500000,    6.780781,    0.258110
  489.550000,   20.397917,  125.000000,    6.796333,    0.258089
  489.550000,   20.397917,  125.500000,    6.812339,    0.258066
  489.550000,   20.397917,  126.000000,    6.828797,    0.258039
  489.550000,   20.397917,  126.500000,    6.845700,    0.258011
  489.550000,   20.397917,  127.000000,    6.863050,    0.257979
  489.550000,   20.397917,  127.500000,    6.880845,    0.257944
  489.550000,   20.397917,  128.000000,    6.899084,    0.257907
  489.550000,   20.397917,  128.500000,    6.917763,    0.257867
  489.550000,   20.397917,  129.000000,    6.936884,    0.257823
  489.550000,   20.397917,  129.500000,    6.956443,    0.257777
  489.550000,   20.397917,  130.000000,    6.976432,    0.257727
  489.550000,   20.397917,  130.500000,    6.996845,    0.257674
  489.550000,   20.397917,  131.000000,    7.017683,    0.257617
  489.550000,   20.397917,  131.500000,    7.038948,    0.257557
  489.550000,   20.397917,  132.000000,    7.060629,    0.257494
  489.550000,   20.397917,  132.500000,    7.082718,    0.257427
  489.550000,   20.397917,  133.000000,    7.105215,    0.257356
  489.550000,   20.397917,  133.500000,    7.128119,    0.257281
  489.550000,   20.397917,  134.000000,    7.151422,    0.257203
  489.550000,   20.397917,  134.500000,    7.175114,    0.257120
  489.550000,   20.397917,  135.000000,    7.199188,    0.257034
  489.550000,   20.397917,  135.500000,    7.223641,    0.256943
  489.550000,   20.397917,  136.000000,    7.248464,    0.256848
  489.550000,   20.397917,  136.500000,    7.273642,    0.256749
  489.550000,   20.397917,  137.000000,    7.299166,    0.256645
  489.550000,   20.397917,  137.500000,    7.325028,    0.256537
  489.550000,   20.397917,  138.000000,    7.351216,    0.256424
  489.550000,   20.397917,  138.500000,    7.377717,    0.256306
  489.550000,   20.397917,  139.000000,    7.404519,    0.256183
  489.550000,   20.397917,  139.500000,    7.431610,    0.256055
  489.550000,   20.397917,  140.000000,    7.458982,    0.255922
  489.550000,   20.397917,  140.500000,    7.486629,    0.255784
  489.550000,   20.397917,  141.000000,    7.514546,    0.255640
  489.550000,   20.397917,  141.500000,    7.542722,    0.255491
  489.550000,   20.397917,  142.000000,    7.571155,    0.255336
  489.550000,   20.397917,  142.500000,    7.599843,    0.255176
  489.550000,   20.397917,  143.000000,    7.628774,    0.255009
  489.550000,   20.397917,  143.500000,    7.657940,    0.254837
  489.550000,   20.397917,  144.000000,    7.687333,    0.254658
  489.550000,   20.397917,  144.500000,    7.716954,    0.254473
  489.550000,   20.397917,  145.000000,    7.746810,    0.254282
  489.550000,   20.397917,  145.500000,    7.776941,    0.254084
  489.550000,   20.397917,  146.000000,    7.807383,    0.253880
  489.550000,   20.397917,  146.500000,    7.838108,    0.253668
  489.550000,   20.397917,  147.000000,    7.868941,    0.253450
  489.550000,   20.397917,  147.500000,    7.899559,    0.253224
  489.550000,   20.397917,  148.000000,    7.929490,    0.252991
  489.550000,   20.397917,  148.500000,    7.957514,    0.252750
  489.550000,   20.397917,  149.000000,    7.981168,    0.252502
  489.550000,   20.397917,  149.100000,    7.985273,    0.252451
  489.550000,   20.397917,  149.200000,    7.989260,    0.252400
  489.550000,   20.397917,  149.300000,    7.993318,    0.252349
  489.550000,   20.397917,  149.400000,    7.997699,    0.252297
  489.550000,   20.397917,  149.500000,    8.002787,    0.252245
  489.550000,   20.397917,  149.600000,    8.009273,    0.252192
  489.550000,   20.397917,  149.700000,    8.016251,    0.252140
  489.550000,   20.397917,  149.800000,    8.025805,    0.252087
  489.550000,   20.397917,  149.900000,    8.036756,    0.252033
  489.550000,   20.397917,  150.000000,    8.050000,    0.251979
